DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
04-01-2010,547,547,511,537.68,14099421,30115
05-01-2010,543,546.35,532.75,534.78,791759,23511
06-01-2010,537.53,547.1,535,544.4,1076778,31178
07-01-2010,542.5,557.5,542.5,552.6,1489577,44771
08-01-2010,555,557.5,548.63,550.98,930642,24743
11-01-2010,576.25,592.35,533,540.78,2142171,34241
12-01-2010,539.85,554.5,533,541.85,1258870,33842
13-01-2010,542.53,545.98,535,544.18,1663850,25334
14-01-2010,545,562.23,544,560.43,1918326,37683
15-01-2010,562.53,567.5,552.5,554.6,764212,22782
18-01-2010,550,557.85,537.68,549.78,590970,19596
19-01-2010,550,554.5,540.58,542.6,579827,18714
20-01-2010,542.48,548.35,535.65,538.88,789405,23236
21-01-2010,536,539,525.5,526.9,876283,31555
22-01-2010,519.98,535,514.85,526.58,2229124,72221
25-01-2010,522.48,529.95,518.5,520.85,776143,24909
27-01-2010,514.05,524.93,510.5,512.93,1108821,36881
28-01-2010,517.5,523,512.55,518.7,937370,26920
29-01-2010,512.48,525.5,509,523.28,929781,31852
01-02-2010,518.98,527.5,517.53,523.3,530535,17558
02-02-2010,527.5,529.5,512.05,513.3,813107,24758
03-02-2010,515.18,523.9,515,516.88,880773,19051
04-02-2010,513.98,522.5,507.55,509.7,614736,22476
05-02-2010,502.5,504.33,488.55,490.65,2027218,81164
06-02-2010,489.98,498.93,489.98,496.85,216279,8922
08-02-2010,497.35,502.3,488,498.18,1305530,47899
09-02-2010,497.48,499.45,492.08,496.88,637912,23336
10-02-2010,500,500.5,491,492.33,754558,24288
11-02-2010,495,509,494.68,506.98,1232370,35077
15-02-2010,507.53,513.9,502.6,503.73,666136,21645
16-02-2010,502.48,512,502.48,508.7,859287,18576
17-02-2010,511.5,517.95,511,516,897265,21753
18-02-2010,518,518,497.5,498.7,1145781,37153
19-02-2010,495.5,496.5,489.08,492.13,971935,39969
22-02-2010,497.58,500,486.1,489.45,600058,20920
23-02-2010,487.48,491.73,485.5,487.45,554374,22079
24-02-2010,481,493,481,488.6,545823,17571
25-02-2010,490.03,491,480.5,482.18,698049,26063
26-02-2010,482,497.5,482,489,1298521,35797
02-03-2010,493.3,499.5,490,491.8,683743,18006
03-03-2010,489.98,512.28,489.98,510.98,1436795,41363
04-03-2010,511.13,516.75,504,506.88,793446,26308
05-03-2010,510,513.95,502.88,504.98,574522,19194
08-03-2010,509,512,501.6,502.6,464384,16292
09-03-2010,505,507.5,494.03,495.1,828957,26060
10-03-2010,497,509.2,494.1,504.03,1152036,33060
11-03-2010,502.5,509.95,502.5,508.28,619665,18524
12-03-2010,510,516.3,507.5,510.63,932909,31964
15-03-2010,511,515.5,507.05,513.88,641850,22136
16-03-2010,515,535,514,533.4,1511257,54550
17-03-2010,537.5,541.45,532.08,533.28,936784,26920
18-03-2010,536.5,539.25,531.15,537.53,558995,18234
19-03-2010,538,547.5,535.05,544.9,700542,23093
22-03-2010,537,550,534.05,536.95,922769,27515
23-03-2010,540.03,546,538,544.63,630331,19472
25-03-2010,544,547.63,539.63,545.85,495777,14137
26-03-2010,549,554.7,547.5,549.5,773229,25663
29-03-2010,540.25,554.48,525.78,546.93,580787,15433
30-03-2010,549,552.45,541.4,543.93,665523,14047
31-03-2010,544,547,536.25,537.33,685762,18031
01-04-2010,540.03,549.45,539,546.83,452788,14534
05-04-2010,550,563.5,549.5,562.58,804786,28094
06-04-2010,570,570,559.13,560.58,457815,16463
07-04-2010,564,585.5,561.53,564.5,837735,27889
08-04-2010,552.63,569.5,550.55,552.13,561897,18920
09-04-2010,554,569.7,553.5,561.98,759804,19517
12-04-2010,564,569.4,561,562.83,525402,17444
13-04-2010,568.5,568.5,547.5,560.38,466571,15544
15-04-2010,565,566.25,543.68,545.13,1256227,29854
16-04-2010,533.53,546.9,533.53,541.65,879822,26373
19-04-2010,537.33,537.33,526.1,530.98,832186,26294
20-04-2010,536,539.65,527.5,531.95,761637,21689
21-04-2010,536.98,536.98,525.1,527.1,726180,23369
22-04-2010,529.85,546.95,525,537.78,1333767,40315
23-04-2010,544,547.5,540.63,543.68,1063418,32191
26-04-2010,545.65,545.95,532,534.9,846112,23919
27-04-2010,524.8,534.85,510,530.55,528384,17472
28-04-2010,522.5,525,506.03,508.5,2037906,57552
29-04-2010,515,519,509.5,517.35,891469,26580
30-04-2010,520,522.5,515,516.25,699442,19403
03-05-2010,512.35,516.23,509.05,511.78,701995,20716
04-05-2010,504,519.5,504,510.45,1620359,30482
05-05-2010,500.18,511.5,500,510.38,729837,27162
06-05-2010,509.98,512.35,503.13,505.45,833111,24527
07-05-2010,499.48,530,495.55,516.93,4008811,126432
10-05-2010,525.03,541.5,522.5,540.1,1418144,49032
11-05-2010,540,544.5,531.58,533.6,1314203,27066
12-05-2010,535,544.1,531.55,541,781381,24356
13-05-2010,544.5,546.8,535.15,535.9,503454,16202
14-05-2010,532.5,534.9,518.08,521.78,867176,23878
17-05-2010,517.48,519.4,505,508.38,1113512,33479
18-05-2010,511.5,516.73,504.5,510.35,831696,26594
19-05-2010,504.45,507.25,497.53,499.15,1169295,37389
20-05-2010,502,506.88,496.7,499.95,873442,24728
21-05-2010,492.5,500,488.18,497.88,924265,32025
24-05-2010,500,524.5,500,510.73,1277453,34039
25-05-2010,506,508.93,492.5,493.43,1244439,39753
26-05-2010,499.7,504.63,495.65,503.68,589480,20354
27-05-2010,505,512.85,501.08,510.93,831863,23372
28-05-2010,515.58,518.5,507.5,516.93,672370,22681
31-05-2010,519.35,523.98,515.05,522.53,538014,18095
01-06-2010,522.5,524.85,420.28,505.78,1586397,29670
02-06-2010,506,514,501.8,505.95,810839,19288
03-06-2010,518.5,519.2,510.63,515.58,540732,17670
04-06-2010,519.33,519.33,511.5,515.4,363423,12190
07-06-2010,507.5,509.35,500.15,504.68,568152,18616
08-06-2010,506,506.7,497.5,498.23,757563,22036
09-06-2010,503.2,507.4,500,503.43,866944,17888
10-06-2010,506.35,508.5,504.1,507.73,473347,14778
11-06-2010,512,524.75,511.5,523.13,1615864,38997
